"month_key","month_start_date","count_respondents","count_satisfied_or_very_satisfied","percent_satisfied_or_very_satisfied","percent_satisfied_or_very_satisfied_target"
"201310","2013-10-01T00:00:00.000","119","115","96.63","95"
"201311","2013-11-01T00:00:00.000","99","91","91.91","95"
"201312","2013-12-01T00:00:00.000","54","53","98.14","95"
"201401","2014-01-01T00:00:00.000","133","132","99.24","95"
"201402","2014-02-01T00:00:00.000","133","125","93.98","95"
"201403","2014-03-01T00:00:00.000","143","140","97.90","95"
"201404","2014-04-01T00:00:00.000","140","139","99.28","95"
"201405","2014-05-01T00:00:00.000","186","183","98.38","95"
"201406","2014-06-01T00:00:00.000","115","113","98.26","95"
"201407","2014-07-01T00:00:00.000","183","178","97.26","95"
"201408","2014-08-01T00:00:00.000","142","134","94.36","95"
"201409","2014-09-01T00:00:00.000","146","138","94.52","95"
"201410","2014-10-01T00:00:00.000","204","200","98.03","95"
"201411","2014-11-01T00:00:00.000","146","142","97.26","95"
"201412","2014-12-01T00:00:00.000","113","111","98.23","95"
"201501","2015-01-01T00:00:00.000","141","137","97.16","95"
"201502","2015-02-01T00:00:00.000","115","114","99.13","95"
"201503","2015-03-01T00:00:00.000","175","172","98.28","95"
"201504","2015-04-01T00:00:00.000","165","159","96.36","95"
"201505","2015-05-01T00:00:00.000","128","124","96.87","95"
"201506","2015-06-01T00:00:00.000","67","64","95.52","95"
"201507","2015-07-01T00:00:00.000","132","130","98.48","95"
"201508","2015-08-01T00:00:00.000","95","94","98.94","95"
"201509","2015-09-01T00:00:00.000","32","32","100.00","95"
"201510","2015-10-01T00:00:00.000","121","117","96.69","95"
"201511","2015-11-01T00:00:00.000","92","90","97.82","95"
"201512","2015-12-01T00:00:00.000","90","86","95.55","95"
"201601","2016-01-01T00:00:00.000","93","90","96.77","95"
"201602","2016-02-01T00:00:00.000","111","105","94.59","95"
"201603","2016-03-01T00:00:00.000","80","77","96.25","95"
"201604","2016-04-01T00:00:00.000","99","94","94.94","95"
"201605","2016-05-01T00:00:00.000","96","96","100.00","95"
"201606","2016-06-01T00:00:00.000","74","72","97.29","95"
"201607","2016-07-01T00:00:00.000","76","75","98.68","95"
"201608","2016-08-01T00:00:00.000","90","88","97.77","95"
"201609","2016-09-01T00:00:00.000","66","62","93.93","95"
"201610","2016-10-01T00:00:00.000","87","83","95.40","95"
"201611","2016-11-01T00:00:00.000","50","50","100.00","95"
"201612","2016-12-01T00:00:00.000","42","42","100.00","95"
"201701","2017-01-01T00:00:00.000","75","73","97.33","95"
"201702","2017-02-01T00:00:00.000","89","88","98.87","95"
"201703","2017-03-01T00:00:00.000","74","72","97.29","95"
"201704","2017-04-01T00:00:00.000","157","150","95.54","95"
"201705","2017-05-01T00:00:00.000","80","78","97.50","95"
"201706","2017-06-01T00:00:00.000","78","77","98.71","95"
"201707","2017-07-01T00:00:00.000","72","71","98.61","95"
"201708","2017-08-01T00:00:00.000","87","86","98.85","95"
"201709","2017-09-01T00:00:00.000","57","55","96.49","95"
"201710","2017-10-01T00:00:00.000","59","59","100.00","95"
"201711","2017-11-01T00:00:00.000","43","42","97.67","95"
"201712","2017-12-01T00:00:00.000","24","22","91.66","95"
"201801","2018-01-01T00:00:00.000","50","49","98.00","95"
"201802","2018-02-01T00:00:00.000","48","47","97.91","95"
"201803","2018-03-01T00:00:00.000","74","71","95.94","95"
"201804","2018-04-01T00:00:00.000","88","87","98.86","95"
"201805","2018-05-01T00:00:00.000","60","60","100.00","95"
"201806","2018-06-01T00:00:00.000","72","70","97.22","95"
"201807","2018-07-01T00:00:00.000","69","69","100.00","95"
"201808","2018-08-01T00:00:00.000","60","54","90.00","95"
"201809","2018-09-01T00:00:00.000","48","47","97.91","95"
"201810","2018-10-01T00:00:00.000","81","79","97.53","95"
"201811","2018-11-01T00:00:00.000","48","43","89.58","95"
"201812","2018-12-01T00:00:00.000","58","58","100.00","95"
"201901","2019-01-01T00:00:00.000","70","63","90.00","95"
"201902","2019-02-01T00:00:00.000","55","51","92.72","95"
"201903","2019-03-01T00:00:00.000","94","94","100.00","95"
"201904","2019-04-01T00:00:00.000","221","212","95.92","95"
"201905","2019-05-01T00:00:00.000","65","63","96.92","95"
"201906","2019-06-01T00:00:00.000","178","176","98.87","95"
"201907","2019-07-01T00:00:00.000","140","132","94.28","95"
"201908","2019-08-01T00:00:00.000","139","134","96.40","95"
"201909","2019-09-01T00:00:00.000","155","151","97.41","95"
"201910","2019-10-01T00:00:00.000","126","118","93.65","95"
"201911","2019-11-01T00:00:00.000","131","129","98.47","95"
"201912","2019-12-01T00:00:00.000","94","93","98.93","95"
"202001","2020-01-01T00:00:00.000","84","83","98.80","95"
"202002","2020-02-01T00:00:00.000","93","86","92.47","95"
"202003","2020-03-01T00:00:00.000","80","75","93.75","95"
"202004","2020-04-01T00:00:00.000","70","68","97.14","95"
"202005","2020-05-01T00:00:00.000","75","71","94.66","95"
"202007","2020-07-01T00:00:00.000","70","66","94.28","95"
"202008","2020-08-01T00:00:00.000","77","75","97.40","95"
"202009","2020-09-01T00:00:00.000","71","70","98.59","95"
"202010","2020-10-01T00:00:00.000","57","55","96.49","95"
"202011","2020-11-01T00:00:00.000","43","41","95.34","95"
"202012","2020-12-01T00:00:00.000","60","59","98.33","95"
"202101","2021-01-01T00:00:00.000","65","64","98.46","95"
"202102","2021-02-01T00:00:00.000","60","58","96.66","95"
"202103","2021-03-01T00:00:00.000","68","67","98.52","95"
"202104","2021-04-01T00:00:00.000","89","88","98.87","95"
"202105","2021-05-01T00:00:00.000","94","92","97.87","95"
"202106","2021-06-01T00:00:00.000","70","67","95.71","95"
"202107","2021-07-01T00:00:00.000","85","82","96.47","95"
"202108","2021-08-01T00:00:00.000","76","74","97.36","95"
"202109","2021-09-01T00:00:00.000","92","90","97.82","95"
"202110","2021-10-01T00:00:00.000","92","90","97.82","95"
"202111","2021-11-01T00:00:00.000","86","83","96.51","95"
"202112","2021-12-01T00:00:00.000","69","63","91.30","95"
"202201","2022-01-01T00:00:00.000","95","91","95.78","95"
"202202","2022-02-01T00:00:00.000","69","66","95.65","95"
"202203","2022-03-01T00:00:00.000","51","48","94.11","95"