Reporting Date,Fiscal Year,Structures With Reduced Risk,Roadways with Reduced Risk,Buyouts Completed,Total
09/30/2020 12:00:00 AM,2020,7,0,60,67
10/01/2009 12:00:00 AM,2010,36,1,37,74
10/01/2010 12:00:00 AM,2011,29,3,30,62
10/01/2011 12:00:00 AM,2012,81,1,23,105
10/01/2012 12:00:00 AM,2013,62,0,25,87
10/01/2013 12:00:00 AM,2014,27,3,98,128
10/01/2014 12:00:00 AM,2015,12,5,153,170
10/01/2015 12:00:00 AM,2016,56,10,204,270
10/01/2016 12:00:00 AM,2017,3,0,76,79
10/01/2017 12:00:00 AM,2018,3,0,38,41
10/01/2018 12:00:00 AM,2019,7,0,46,53